"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","04-Jun-2018","       1220.80","       1221.10","       1243.00","       1212.00","       1241.00","       1239.40","       1233.14","    2135078","          2632848474.10","      69180","    1356014","         63.51"
"INFY","EQ","05-Jun-2018","       1239.40","       1242.00","       1242.00","       1217.00","       1218.85","       1220.85","       1226.49","    2355431","          2888924171.60","      85171","    1469405","         62.38"
"INFY","EQ","06-Jun-2018","       1220.85","       1225.20","       1241.55","       1220.05","       1238.10","       1237.45","       1234.18","    2019092","          2491929869.55","      98002","    1157667","         57.34"
"INFY","EQ","07-Jun-2018","       1237.45","       1238.00","       1258.00","       1238.00","       1249.30","       1252.45","       1252.57","    3338113","          4181210252.15","     106204","    1876344","         56.21"
"INFY","EQ","08-Jun-2018","       1252.45","       1248.00","       1262.00","       1246.05","       1258.80","       1260.05","       1257.48","    3229939","          4061574692.05","     146437","    2152796","         66.65"
"INFY","EQ","11-Jun-2018","       1260.05","       1265.55","       1270.00","       1255.05","       1261.00","       1262.40","       1262.71","    2585645","          3264923421.00","      94087","    1883057","         72.83"
"INFY","EQ","12-Jun-2018","       1262.40","       1265.75","       1271.25","       1250.45","       1259.00","       1258.50","       1258.01","    3919910","          4931300156.35","      90357","    2684852","         68.49"
"INFY","EQ","13-Jun-2018","       1258.50","       1266.80","       1284.00","       1266.80","       1275.00","       1274.80","       1275.20","    2883464","          3676982073.80","     110178","    1736971","         60.24"
"INFY","EQ","14-Jun-2018","       1274.80","       1253.00","       1253.00","       1234.10","       1240.00","       1239.70","       1242.78","    3799424","          4721843710.85","     142371","    2234217","         58.80"
"INFY","EQ","15-Jun-2018","       1239.70","       1237.00","       1291.50","       1235.00","       1288.80","       1281.25","       1267.10","    9978880","         12644285283.80","     156513","    7198132","         72.13"
"INFY","EQ","18-Jun-2018","       1281.25","       1284.00","       1291.25","       1262.35","       1264.50","       1267.40","       1273.18","    4107423","          5229499470.65","     127326","    2705510","         65.87"
"INFY","EQ","19-Jun-2018","       1267.40","       1263.00","       1263.40","       1238.05","       1242.00","       1241.60","       1244.36","    3772850","          4694786854.10","     148052","    2625680","         69.59"
"INFY","EQ","20-Jun-2018","       1241.60","       1248.50","       1252.35","       1238.00","       1241.45","       1243.15","       1245.07","    2685901","          3344140003.85","      92693","    1763850","         65.67"
"INFY","EQ","21-Jun-2018","       1243.15","       1245.95","       1256.50","       1236.00","       1246.55","       1246.55","       1247.63","    2899395","          3617383650.80","     138481","    1939037","         66.88"
"INFY","EQ","22-Jun-2018","       1246.55","       1243.00","       1255.50","       1241.20","       1246.40","       1247.85","       1249.94","    2171559","          2714312669.80","      91644","    1545127","         71.15"
"INFY","EQ","25-Jun-2018","       1247.85","       1257.15","       1278.80","       1254.00","       1269.70","       1272.45","       1271.05","    3865589","          4913363829.80","     137153","    2105988","         54.48"
"INFY","EQ","26-Jun-2018","       1272.45","       1269.00","       1283.90","       1266.25","       1280.05","       1277.85","       1277.24","    2241752","          2863258907.05","     102746","    1303651","         58.15"
"INFY","EQ","27-Jun-2018","       1277.85","       1283.95","       1293.45","       1265.60","       1271.50","       1270.00","       1281.92","    3476071","          4456049392.90","     107138","    2254625","         64.86"
"INFY","EQ","28-Jun-2018","       1270.00","       1276.30","       1298.00","       1276.25","       1284.30","       1289.60","       1290.08","    5498409","          7093380058.90","     159341","    2847254","         51.78"
"INFY","EQ","29-Jun-2018","       1289.60","       1298.05","       1315.00","       1283.25","       1310.65","       1307.20","       1298.31","    4983300","          6469891050.00","     164216","    3050563","         61.22"
"INFY","EQ","02-Jul-2018","       1307.20","       1314.00","       1340.00","       1314.00","       1337.80","       1334.70","       1325.09","    2415072","          3200195813.50","      80512","    1157363","         47.92"
"INFY","EQ","03-Jul-2018","       1334.70","       1331.90","       1357.90","       1331.75","       1355.50","       1353.75","       1347.06","    4063726","          5474101848.85","     140810","    2374717","         58.44"
"INFY","EQ","04-Jul-2018","       1353.75","       1352.05","       1352.65","       1338.85","       1348.40","       1345.20","       1345.49","    2512861","          3381023804.65","     156409","    1610582","         64.09"
"INFY","EQ","05-Jul-2018","       1345.20","       1347.10","       1347.25","       1268.10","       1286.50","       1284.00","       1290.51","    8509951","         10982144288.60","     274864","    4498851","         52.87"
"INFY","EQ","06-Jul-2018","       1284.00","       1290.25","       1301.85","       1269.00","       1285.15","       1284.25","       1281.04","    5607678","          7183683022.00","     181138","    3185846","         56.81"
"INFY","EQ","09-Jul-2018","       1284.25","       1297.00","       1303.00","       1279.05","       1301.20","       1298.85","       1294.01","    3322499","          4299340435.35","      95341","    1941581","         58.44"
"INFY","EQ","10-Jul-2018","       1298.85","       1308.50","       1315.45","       1294.30","       1299.10","       1301.40","       1305.09","    2987244","          3898613178.15","     109336","    1551472","         51.94"
"INFY","EQ","11-Jul-2018","       1301.40","       1317.55","       1342.10","       1291.35","       1319.00","       1320.45","       1317.22","    5949916","          7837362262.05","     131426","    2520702","         42.37"
"INFY","EQ","12-Jul-2018","       1320.45","       1326.10","       1327.10","       1284.45","       1295.00","       1294.35","       1299.24","    6636120","          8621906526.25","     189258","    3884375","         58.53"
"INFY","EQ","13-Jul-2018","       1294.35","       1315.00","       1331.60","       1298.35","       1323.00","       1317.40","       1315.39","    9748079","         12822503746.05","     205562","    4621538","         47.41"
"INFY","EQ","16-Jul-2018","       1317.40","       1317.40","       1384.40","       1287.70","       1336.00","       1332.85","       1345.93","   17672340","         23785647475.95","     357607","    5265555","         29.80"
